tRF	HR	HR_lo	HR_hi	p_value	FDR
tRF-30-81PV6RRNLNK8	1.16414685366583	1.05892511578081	1.27982411287011	0.00166368196357407	0.0332736392714813
tRF-22-7SERML921	1.1666827620502	1.04491433102439	1.30264140020999	0.00612228180929883	0.0612228180929883
tRF-22-7SIRMM121	1.11995965010899	1.01914620399226	1.23074551321371	0.0185711572820757	0.123807715213838
tRF-24-D3887S1R19	1.08431424130816	1.00548424863937	1.16932450756411	0.035554553909047	0.177772769545235
tRF-18-R959KUD4	1.1254833477839	0.999810665825337	1.26695264357197	0.0503675117883426	0.18496327047099
tRF-23-7SIR3DR2DV	1.08298068313736	0.995747131404431	1.17785642866421	0.0628154103904878	0.18496327047099
tRF-25-RNLNKSEK51	1.10429135380333	0.993954892304705	1.22687599158269	0.0647371446648464	0.18496327047099
tRF-24-RNLNK88KHR	1.10727466484335	0.98532517173131	1.24431732648182	0.0869622444263543	0.216594206567715
tRF-23-7SIRMM12V	1.08097932442715	0.985877798604355	1.18525470549511	0.0974673929554719	0.216594206567715
tRF-17-097JPE4	0.913576811288974	0.802479526288626	1.04005468399295	0.171842655312011	0.343685310624022
tRF-18-67M8LOD4	1.05600722473196	0.970755674541796	1.14874554734121	0.204485171572706	0.371791221041284
tRF-28-68K87SERM404	0.764135269733788	0.485385242253495	1.20296758043209	0.245295493263164	0.408825822105274
tRF-18-O7M8LO04	1.04383445196177	0.953504555311634	1.14272171751316	0.352897108641159	0.542918628678706
tRF-23-YOS5S8R6D2	0.964625548722753	0.884752638622344	1.05170915420785	0.41410163764281	0.590041348775886
tRF-19-PS5P4PJ4	1.05389987692537	0.921610289942298	1.20517854748872	0.443014168639529	0.590041348775886
tRF-19-R959KU1Y	1.04797628767943	0.922332981316264	1.1907351485697	0.472033079020709	0.590041348775886
tRF-19-7SERM4JY	1.04092075631809	0.889388579381506	1.21827067049515	0.617333324007928	0.726274498832856
tRF-16-0RYNURD	0.985439038335098	0.847378664111905	1.14599309541568	0.848944429982437	0.900348316981031
tRF-24-SWRYVMMVHX	1.00735164492787	0.915750153055974	1.10811593440909	0.880303001068957	0.900348316981031
tRF-20-7SERM492	0.989991820096869	0.845780223470764	1.15879252867467	0.900348316981031	0.900348316981031
