gene_name	logFC	logCPM	F	PValue	FDR
MET	2.29474795529358	18.489370321734	142.267089588246	1.70762551908513e-27	2.73220083053621e-26
CDKN2A	4.56682691300163	11.4602749557433	107.92996195294	3.15973542733741e-22	2.52778834186992e-21
MTOR	-0.699057338927165	15.4401375562933	80.8138624156883	1.99985557312589e-17	1.06658963900048e-16
TP53	0.915805111957061	15.3237780533052	73.3136540384088	4.33368134756025e-16	1.7334725390241e-15
TERT	5.71549743775811	8.37766896809093	23.1050085579954	2.24240558638349e-06	7.17569787642716e-06
NF2	0.644088020645861	16.1117100734537	18.7096497902044	2.02169497923857e-05	5.39118661130284e-05
SETD2	-0.282638148688612	15.5720181901521	11.8094000080635	0.000665036458464211	0.00152008333363248
PBRM1	-0.259291401757769	14.4069936868484	7.10959124253561	0.00804662463621362	0.0160932492724272
FH	-0.288900528091625	15.8674928039149	6.34199091724958	0.0122659538316587	0.021806140145171
PTEN	-0.174838317443259	15.7148814207112	5.61702668338199	0.0183639808180675	0.029382369308908
TFE3	0.145649474944397	15.652155267022	2.54269081237588	0.111767357624537	0.154334975394605
NFE2L2	-0.145129246784886	16.5852076841047	2.48702068991098	0.115751231545954	0.154334975394605
VHL	0.089808164673512	14.4597344968913	1.48171580126809	0.224380001910391	0.27616000235125
BAP1	0.0607358624943878	16.0964866353189	0.538549477772553	0.463557887482595	0.529780442837252
KEAP1	0.0472634950093377	15.5876442181631	0.271178178043994	0.602893328136133	0.643086216678542
TFEB	-0.0523174430319463	14.6181751042999	0.0882539154413262	0.766596546918557	0.766596546918557
