tRF	AUC
tRF-23-7SIR3DR2DV	0.9485546796038
tRF-22-7SIRMM121	0.928845765110168
tRF-23-7SIRMM12V	0.923590054578533
tRF-22-7SERML921	0.900545785324439
tRF-25-RNLNKSEK51	0.893066504952497
tRF-16-0RYNURD	0.875530624620983
tRF-20-7SERM492	0.874823125126339
tRF-24-RNLNK88KHR	0.865069739235901
tRF-19-R959KU1Y	0.853042247826966
tRF-19-7SERM4JY	0.848898322215484
tRF-18-R959KUD4	0.841014756418031
tRF-19-PS5P4PJ4	0.836264402668284
tRF-23-YOS5S8R6D2	0.793511218920559
tRF-18-O7M8LO04	0.79219729128765
tRF-30-81PV6RRNLNK8	0.737214473418233
tRF-24-SWRYVMMVHX	0.717505558924601
tRF-18-67M8LOD4	0.70911663634526
tRF-24-D3887S1R19	0.650192035577117
tRF-17-097JPE4	0.603193854861532
tRF-28-68K87SERM404	0.321305841924399
